frame_id,image_name,r11,r12,r13,r21,r22,r23,r31,r32,r33,tx,ty,tz,fx,fy,cx,cy,proc_width,proc_height
0,0000.png,1.0,0.0002346038818359375,4.7206878662109375e-05,-0.0002346038818359375,0.9999999403953552,0.00010585784912109375,-4.7206878662109375e-05,-0.00010585784912109375,1.0,8.10623441793723e-06,0.00016307829355355352,-4.506111145019531e-05,602.0735,605.3277,259.0,259.0,518,518
1,0001.png,0.9999779462814331,0.0023956033401191235,-0.006194999907165766,-0.0023956033401191235,0.9999969601631165,-0.000606530113145709,0.006194999907165766,0.0006217887857928872,0.9999805688858032,-0.1455077975988388,0.0023035272024571896,0.007934356108307838,608.6117,611.9261,259.0,259.0,518,518
2,0002.png,0.999885082244873,0.002212390536442399,-0.015013739466667175,-0.002151358872652054,0.9999913573265076,0.00355508248321712,0.015013739466667175,-0.0035245667677372694,0.9998812675476074,-0.28906264901161194,-0.0017722992924973369,0.0001786714419722557,602.0735,605.3277,259.0,259.0,518,518
3,0003.png,0.9998149871826172,0.005889346823096275,-0.01830885000526905,-0.005889346823096275,0.9999825954437256,-0.0002879829553421587,0.01830885000526905,0.0003947845834773034,0.9998321533203125,-0.4355468153953552,0.00230135559104383,-0.005280417390167713,595.6529,598.8487,259.0,259.0,518,518
4,0004.png,0.9997063279151917,0.0036920856218785048,-0.023922273889183998,-0.0037225985433906317,0.9999927878379822,-0.0007551992894150317,0.023922273889183998,0.0008467386360280216,0.9997139573097229,-0.5820305347442627,0.0019368589855730534,-0.0006235046312212944,598.8487,602.0735,259.0,259.0,518,518
5,0005.png,0.9995080232620239,0.0033255871385335922,-0.031120171770453453,-0.0034476269502192736,0.999985933303833,-0.0040273163467645645,0.031120171770453453,0.0041493563912808895,0.9995080232620239,-0.726559579372406,0.004116038326174021,-0.014719459228217602,589.3467,592.4857,259.0,259.0,518,518
6,0006.png,0.999046802520752,0.011042020283639431,-0.04221590235829353,-0.011286042630672455,0.9999247193336487,-0.004788942635059357,0.04221590235829353,0.005276987794786692,0.9990963339805603,-0.8671870231628418,0.010647706687450409,-0.006091052666306496,605.3277,608.6117,259.0,259.0,518,518
7,0007.png,0.9987800717353821,0.017932897433638573,-0.046113163232803345,-0.017444927245378494,0.999792218208313,0.010552351363003254,0.046113163232803345,-0.00969840306788683,0.9988791942596436,-1.015632152557373,0.011088632047176361,-0.013672981411218643,602.0735,605.3277,259.0,259.0,518,518
8,0008.png,0.999229907989502,0.00817363616079092,-0.03855028375983238,-0.00698418915271759,0.9995043873786926,0.03074263222515583,0.03855028375983238,-0.030498642474412918,0.9987877011299133,-1.1484534740447998,-0.0131292175501585,0.003334328532218933,618.64734,618.64734,259.0,259.0,518,518
9,0009.png,0.9967756271362305,-0.01756512001156807,-0.07812179625034332,0.01756512001156807,0.9998445510864258,-0.0015507667558267713,0.07812179625034332,0.00016889537801034749,0.9969291687011719,-1.2265303134918213,-0.016317734494805336,-0.019268102943897247,615.2711,622.05524,259.0,259.0,518,518
