frame_id,image_name,tx,ty,tz,qx,qy,qz,qw
0,0000.png,-8.0701e-06,-0.00016308497,4.5043467e-05,5.2928924560546875e-05,-2.3603439331054688e-05,0.00011730194091796875,1.0
1,0001.png,0.14546096,-0.001960425,-0.008834439,-0.0003070814269629485,0.003097517123886403,0.0011978083098072745,0.9999944567526721
2,0002.png,0.2890228,0.0024101452,-0.0045100255,0.0017699659066300762,0.007507097045364211,0.0010909703282307116,0.9999697203820265
3,0003.png,0.4355765,0.0002631338,-0.002695044,-0.00017069978538700872,0.009154848726365005,0.002944809709349761,0.9999537159222239
4,0004.png,0.5818824,0.00021921287,-0.013300436,-0.00040051386947034974,0.011962014669496873,0.0018538070662826318,0.9999266239902621
5,0005.png,0.726677,-0.0016425335,-0.007891921,-0.0020444233638072253,0.015562027408498337,0.0016935147473954072,0.9998752396959184
6,0006.png,0.8667359,-0.0010119296,-0.030521225,-0.0025170904871882832,0.021113050977349244,0.005583364607457898,0.9997584528068468
7,0007.png,1.0152187,0.0069726375,-0.033111453,0.005064302133779883,0.023063929963913113,0.00884727451458035,0.9996813922205393
8,0008.png,1.1473432,0.022596505,-0.046932466,0.015315063951531507,0.019281115426512795,0.0037906307163061183,0.9996901866689523
9,0009.png,1.2243994,-0.0053086323,-0.07661857,-0.00043026260051423436,0.03909243230864715,-0.008789650238520604,0.999193343017735
10,0010.png,0.99494815,0.06627425,-0.18867765,0.009915539465177868,0.16868967867632975,0.105431056775724,0.9799504220839091
11,0011.png,0.002466944,-0.10253178,0.075037874,0.003204323166676536,-0.0019378526571453127,0.0003604863737135319,0.9999929368246498
12,0012.png,0.14703733,-0.1042319,0.09114198,0.0025634618140914912,0.002075183328963209,0.0008277845465590439,0.9999942183327429
13,0013.png,0.28851357,-0.10542305,0.09092271,0.0018538964496756264,0.006774732802721293,0.0006789991739585117,0.9999750551450386
14,0014.png,0.435877,-0.10807905,0.09970121,-0.00031851243283883776,0.009521042437630271,0.0014113725035983698,0.9999536861185218
15,0015.png,0.58092904,-0.10625325,0.086651266,0.0008200794804122164,0.013975679490648483,0.0007209070212702121,0.9999014686679746
16,0016.png,0.77641237,-0.10217075,0.10087658,0.001604992430639861,0.014346433776755875,0.004385834181160313,0.9998862678702699
17,0017.png,0.9247769,-0.10103192,0.08416793,0.0008926049917383229,0.02227403449084956,0.005444540203302906,0.9997364829471518
18,0018.png,1.0657681,-0.07848291,0.08139309,0.013059581832409635,0.031412211450307974,0.011479372823959649,0.9993555257210747
19,0019.png,1.1577742,-0.032550916,0.07866173,0.040109307577897574,0.0551822158601126,0.012405921577393857,0.9975890361754702
20,0020.png,1.2369294,-0.029756933,-0.0017873719,0.029894530354695192,0.07904098154062088,0.034404227329142834,0.9958056164053908
21,0021.png,1.1271104,-0.021366186,-0.1127006,0.018411277174473797,0.17630946708814085,0.08897728945886703,0.9801489623869273
22,0022.png,-0.011553124,-0.21725687,0.19484586,0.004580087370650269,0.0009012041725883559,-0.0022007987462062907,0.9999867080758774
23,0023.png,0.14714475,-0.22057891,0.20224164,0.0029154779711042995,0.0032824260902771397,-0.00012354674584726927,0.999990373803537
24,0024.png,0.30457938,-0.21872886,0.19668727,0.004612819450039922,0.005600961741038607,0.0007466044033499063,0.9999734159750749
25,0025.png,0.4638676,-0.21942447,0.20045,0.0031933459842945046,0.008922914852223877,0.0019350018963363153,0.999953149651729
26,0026.png,0.62093055,-0.21554649,0.18868741,0.005541404036376614,0.012706450024651013,0.002763559224186354,0.9999000380145124
27,0027.png,0.7793333,-0.21677303,0.17979796,0.004400809753371014,0.015209236383780701,0.0020323675039410666,0.9998724975363863
28,0028.png,0.97545797,-0.20771264,0.15970409,0.007208783352696307,0.01629460226044619,0.004770970677089936,0.9998300229093173
29,0029.png,1.122299,-0.18489058,0.1373403,0.016798574137692698,0.03135681551396277,0.006553500148740052,0.9993452670581089
30,0030.png,1.3030453,-0.18372986,0.15095742,0.0176020603172751,0.025013005506432956,0.007130846314137122,0.999506649867307
31,0031.png,1.4215691,-0.18421222,0.15088442,0.015278286097489858,0.044861143751467825,0.010494064117223794,0.9988196977208376
32,0032.png,1.5694422,-0.1693266,0.058462188,0.012286999291734955,0.055395281461489615,0.023894387380259483,0.9980938446877113
